iter	Passed	Remaining
820	930	202
821	932	201
822	933	200
823	934	199
824	935	198
825	936	197
826	938	196
827	939	195
828	940	193
829	941	192
830	942	191
831	943	190
832	944	189
833	945	188
834	946	187
835	947	185
836	949	184
837	950	183
838	951	182
839	952	181
840	953	180
841	954	179
842	955	178
843	956	176
844	958	175
845	959	174
846	960	173
847	961	172
848	962	171
849	963	170
850	965	168
851	966	167
852	967	166
853	968	165
854	969	164
855	971	163
856	972	162
857	973	161
858	974	159
859	975	158
860	977	157
861	978	156
862	979	155
863	980	154
864	981	153
865	982	152
866	983	150
867	984	149
868	986	148
869	987	147
870	988	146
871	989	145
872	990	144
873	991	142
874	993	141
875	994	140
876	995	139
877	996	138
878	997	137
879	998	136
880	999	135
881	1000	133
882	1001	132
883	1003	131
884	1005	130
885	1006	129
886	1007	128
887	1009	127
888	1010	126
889	1012	125
890	1013	123
891	1014	122
892	1016	121
893	1017	120
894	1018	119
895	1019	118
896	1020	117
897	1021	116
898	1023	114
899	1024	113
900	1025	112
901	1026	111
902	1027	110
903	1028	109
904	1030	108
905	1031	106
906	1032	105
907	1033	104
908	1034	103
909	1035	102
910	1037	101
911	1038	100
912	1039	99
913	1040	97
914	1041	96
915	1042	95
916	1044	94
917	1045	93
918	1046	92
919	1047	91
920	1048	89
921	1049	88
922	1050	87
923	1051	86
924	1052	85
925	1053	84
926	1055	83
927	1056	81
928	1057	80
929	1058	79
930	1059	78
931	1060	77
932	1061	76
933	1062	75
934	1063	73
935	1064	72
936	1066	71
937	1067	70
938	1068	69
939	1069	68
940	1070	67
941	1071	65
942	1072	64
943	1074	63
944	1075	62
945	1076	61
946	1077	60
947	1079	59
948	1080	58
949	1081	56
950	1082	55
951	1083	54
952	1084	53
953	1085	52
954	1086	51
955	1087	50
956	1089	48
957	1090	47
958	1091	46
959	1092	45
960	1093	44
961	1094	43
962	1095	42
963	1096	40
964	1098	39
965	1099	38
966	1100	37
967	1101	36
968	1103	35
969	1104	34
970	1105	33
971	1106	31
972	1107	30
973	1108	29
974	1109	28
975	1111	27
976	1112	26
977	1113	25
978	1114	23
979	1116	22
980	1117	21
981	1118	20
982	1119	19
983	1120	18
984	1121	17
985	1122	15
986	1124	14
987	1125	13
988	1126	12
989	1127	11
990	1128	10
991	1129	9
992	1130	7
993	1131	6
994	1132	5
995	1133	4
996	1135	3
997	1136	2
998	1137	1
999	1138	0
